year,month_num,final_region,total_sales,total_items,prev_year_sales,sales_growth
2021,1,Aguascalientes,42083.420000000006,33,,
2021,1,Baja California,81657.57,61,,
2021,1,Baja California Sur,53967.18,54,,
2021,1,Campeche,18737.55,18,,
2021,1,Chiapas,61203.89,59,,
2021,1,Chihuahua,124296.72,108,,
2021,1,Ciudad de México,1418658.24,1203,,
2021,1,Coahuila,113258.0,96,,
2021,1,Colima,18992.42,14,,
2021,1,Durango,45242.97,42,,
2021,1,Guanajuato,90873.7,68,,
2021,1,Guerrero,45618.1,47,,
2021,1,Hidalgo,75882.19,56,,
2021,1,Jalisco,439590.54000000004,391,,
2021,1,Michoacán,112830.8,99,,
2021,1,Morelos,52222.43,45,,
2021,1,México,751676.5,639,,
2021,1,Nayarit,37761.32,32,,
2021,1,Nuevo León,345429.09,333,,
2021,1,Oaxaca,59249.299999999996,49,,
2021,1,Puebla,151880.19999999998,133,,
2021,1,Querétaro,135454.05,125,,
2021,1,Quintana Roo,56699.95,63,,
2021,1,San Luis Potosí,110196.83,111,,
2021,1,Sinaloa,163295.15,146,,
2021,1,Sonora,52023.380000000005,58,,
2021,1,Tabasco,58274.94,67,,
2021,1,Tamaulipas,100463.56,94,,
2021,1,Tlaxcala,15206.060000000001,11,,
2021,1,Veracruz,185701.92,175,,
2021,1,Yucatán,103954.51000000001,100,,
2021,1,Zacatecas,24805.18,18,,
2021,2,Aguascalientes,48703.270000000004,38,,
2021,2,Baja California,96916.08,77,,
2021,2,Baja California Sur,46329.39,42,,
2021,2,Campeche,20548.190000000002,24,,
2021,2,Chiapas,52864.3,44,,
2021,2,Chihuahua,110419.0,93,,
2021,2,Ciudad de México,889656.5800000001,757,,
2021,2,Coahuila,82096.71,78,,
2021,2,Colima,24105.84,21,,
2021,2,Durango,37316.29,33,,
2021,2,Guanajuato,97382.97,81,,
2021,2,Guerrero,23661.22,23,,
2021,2,Hidalgo,59819.57,41,,
2021,2,Jalisco,397606.54,325,,
2021,2,Michoacán,95417.88999999998,78,,
2021,2,Morelos,44196.81,46,,
2021,2,México,488911.1,395,,
2021,2,Nayarit,26960.48,24,,
2021,2,Nuevo León,355918.84,335,,
2021,2,Oaxaca,56935.409999999996,48,,
2021,2,Puebla,97802.43999999999,87,,
2021,2,Querétaro,135641.78,123,,
2021,2,Quintana Roo,33308.71,29,,
2021,2,San Luis Potosí,66891.29,55,,
2021,2,Sinaloa,174419.02,145,,
2021,2,Sonora,88059.6,81,,
2021,2,Tabasco,46317.4,44,,
2021,2,Tamaulipas,89210.88,80,,
2021,2,Tlaxcala,11546.03,9,,
2021,2,Veracruz,163222.74000000002,146,,
2021,2,Yucatán,55914.31,53,,
2021,2,Zacatecas,12379.92,10,,
2021,3,Aguascalientes,50938.0,44,,
2021,3,Baja California,104348.76,91,,
2021,3,Baja California Sur,67111.37,59,,
2021,3,Campeche,15649.14,27,,
2021,3,Chiapas,65632.47,61,,
2021,3,Chihuahua,188989.28,172,,
2021,3,Ciudad de México,1038693.3,930,,
2021,3,Coahuila,129997.22,124,,
2021,3,Colima,29391.17,24,,
2021,3,Durango,47473.14,42,,
2021,3,Guanajuato,155463.12,142,,
2021,3,Guerrero,26880.329999999998,27,,
2021,3,Hidalgo,68883.92,53,,
2021,3,Jalisco,483813.62,450,,
2021,3,Michoacán,116734.11,102,,
2021,3,Morelos,52581.479999999996,47,,
2021,3,México,523645.18,457,,
2021,3,Nayarit,39455.37999999999,39,,
2021,3,Nuevo León,533671.53,533,,
2021,3,Oaxaca,44093.55,36,,
2021,3,Puebla,113460.88,111,,
2021,3,Querétaro,175006.57,166,,
2021,3,Quintana Roo,48887.08,40,,
2021,3,San Luis Potosí,98912.39,95,,
2021,3,Sinaloa,200932.67,181,,
2021,3,Sonora,114471.31,108,,
2021,3,Tabasco,39825.2,38,,
2021,3,Tamaulipas,136843.47,123,,
2021,3,Tlaxcala,4868.97,4,,
2021,3,Veracruz,178654.88999999998,158,,
2021,3,Yucatán,73725.43000000001,67,,
2021,3,Zacatecas,24660.239999999998,24,,
2021,4,Aguascalientes,49444.92,40,,
2021,4,Baja California,119329.02000000002,108,,
2021,4,Baja California Sur,31831.559999999998,30,,
2021,4,Campeche,15671.65,13,,
2021,4,Chiapas,57107.590000000004,46,,
2021,4,Chihuahua,206557.09,186,,
2021,4,Ciudad de México,1025621.73,883,,
2021,4,Coahuila,202383.59999999998,177,,
2021,4,Colima,30820.100000000002,24,,
2021,4,Durango,45950.95,38,,
2021,4,Guanajuato,138718.79,116,,
2021,4,Guerrero,36282.49,33,,
2021,4,Hidalgo,76583.53,70,,
2021,4,Jalisco,563489.97,482,,
2021,4,Michoacán,139858.67,114,,
2021,4,Morelos,38658.1,37,,
2021,4,México,575685.24,503,,
2021,4,Nayarit,39913.81,34,,
2021,4,Nuevo León,749406.0,659,,
2021,4,Oaxaca,59844.549999999996,51,,
2021,4,Puebla,177913.25999999998,159,,
2021,4,Querétaro,173877.22,144,,
2021,4,Quintana Roo,62272.72,52,,
2021,4,San Luis Potosí,105445.34,82,,
2021,4,Sinaloa,200160.61,169,,
2021,4,Sonora,124797.33,99,,
2021,4,Tabasco,61433.119999999995,53,,
2021,4,Tamaulipas,168476.68,142,,
2021,4,Tlaxcala,15121.82,14,,
2021,4,Veracruz,171352.63,154,,
2021,4,Yucatán,96591.53,80,,
2021,4,Zacatecas,29942.14,24,,
2021,5,Aguascalientes,113948.97,78,,
2021,5,Baja California,250436.25999999998,206,,
2021,5,Baja California Sur,84710.93,76,,
2021,5,Campeche,45419.93,37,,
2021,5,Chiapas,142250.50999999998,128,,
2021,5,Chihuahua,364253.64999999997,342,,
2021,5,Ciudad de México,1912586.71,1657,,
2021,5,Coahuila,283404.35,249,,
2021,5,Colima,59227.4,51,,
2021,5,Durango,86935.14,67,,
2021,5,Guanajuato,256306.11,207,,
2021,5,Guerrero,77837.16,71,,
2021,5,Hidalgo,134737.06,111,,
2021,5,Jalisco,1014426.6499999999,858,,
2021,5,Michoacán,299408.32,246,,
2021,5,Morelos,102359.72,88,,
2021,5,México,1042007.61,874,,
2021,5,Nayarit,89717.44,82,,
2021,5,Nuevo León,1301074.27,1148,,
2021,5,Oaxaca,88602.96,79,,
2021,5,Puebla,259519.79,223,,
2021,5,Querétaro,304347.02,271,,
2021,5,Quintana Roo,100277.29000000001,90,,
2021,5,San Luis Potosí,165548.22999999998,144,,
2021,5,Sinaloa,357674.76,307,,
2021,5,Sonora,214133.93000000002,180,,
